what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1339424703374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339424706382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339424707071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424709588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424716973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424722178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424724567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339424731987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339424734769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1339424752686
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1339424763338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339424764974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339424792313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339424796066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339424808189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339424848280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339424850032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1339424860276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339424877405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339424877762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339424880910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339424888674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424889137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424896749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424913346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424916117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339424924330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424926747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424947419
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339424958882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339424964891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424973168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424989712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424989827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339424989887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424992425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339424993898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339424995972
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1339425014269
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1339425014271
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1339425014514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1339425014514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339425014524
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1339425016568
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1339425016615
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339425016629
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1339425022802
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1339425034309
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1339425034309
