what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339380470181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339380471186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339380471660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1339380475327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339380476569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339380487097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339380489756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339380490153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339380491698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339380502306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339380513686
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1339380519681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339380519700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1339380520163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339380520177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339380533349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339380538543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339380542925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339380543583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339380547920
